Name,Address,Place_ID,Latitude,Longitude
Hegyvidék Harcosai Küzdősport Akadémia,"Budapest, Csaba utca 7",ChIJOQWuw6HeQUcR4ycA-zjBNfQ,47.5053159,19.0207913
Zöldfa Jóga és masszázs,"Budapest, Szabadság utca 38",ChIJO38S9aPFQUcRVni5U2AQUns,47.5148146,19.1877991
TMS Pilates Római,"Budapest, Nánási út 5-7",ChIJqQvalgXZQUcRjY8NkNa0dy4,47.5677086,19.064154
Magyar Kettlebell Akadémia,"Budapest, Szentkirályi utca 10",ChIJg-2s5VzcQUcRW5rRwJVcRZY,47.4937005,19.0650062
"Böröcz Csilla - Gyógymasszőr, Pilates oktató","Budapest, Vörösmarty utca 5-fszt. 1",ChIJbZQyBbnJQUcR-KNUCLOYvWM,47.50316040000001,19.0715466
Mandír Jóga-sziget,"Budapest, Lőcse utca 31",ChIJfY90sM7DQUcRsKzRgdgOv_8,47.43460959999999,19.211431
Jól-Lét Egészségpont: Natural Terápia & Jógavilág,"Budapest, Király utca 25",ChIJg69x2v3bQUcRtR_2mQHRDcE,47.5614839,19.0979103
"Adria Fitness Gym Budapest, New Mountain Promenade 10, 1108","Budapest, Újhegyi sétány 10",ChIJUduEpgXDQUcRPnibLIAg_cc,47.46912760000001,19.1600971
Balance Stúdió,"Budapest, Vihar utca 36",ChIJYfPIRfrcQUcRSeaRaZznm04,47.5481229,19.0379042
A Bázis edzőterem,"Budapest, Taksony utca 1",ChIJoxC-JwrcQUcRVrzqIXQZWcA,47.5205646,19.067496
AgiYoga Jóga - Meditáció,"Budapest, Kévevágó utca 7",ChIJpYYXTgDBQUcRajwElDFBG9A,47.4738325,19.2589288
funXional Gym - Savoya Park,"Budapest, Hunyadi János út 19",ChIJ7Up10aznQUcR7hjRJvtcYUU,47.43580619999999,19.0397529
Jógaporta,"Budapest, Szerencs utca 127",ChIJXw0CMtTZQUcRzwQVi4IaY6o,47.54882600000001,19.1227677
Gyermekmozgás,"Budapest, Ipar utca 3",ChIJIwxrOV2fQEcRCkxIQMOkMf0,47.477765,19.0696829
Ökölvívás csoportos és személyi edzések (BoxPlusz),"Budapest, Rökk Szilárd utca 7",ChIJ8ZflVKvdQUcRUhhP4xArajQ,47.4921535,19.0696263
Vibe Reformer Pilates Studio,"Budapest, Bartl János utca 2",ChIJGxvpXvDbQUcRLLwYEH29_Js,47.5234664,19.1281329
"Ayurvédikus Masszázs, olajos masszázs hölgyeknek","Budapest, Pilisi utca 40",ChIJM12TMO7FQUcRy-ZuQyimgT0,47.5006839,19.1635501
Akadémia Fitnesz,"Budapest, Nagyszalonta utca 25",ChIJR8XMBGXdQUcREBNwPf-u4d4,47.43871490000001,19.2198958
budayoga,"Budapest, Szilágyi Erzsébet fasor 69",ChIJox7FG7zeQUcR9Gt434vqrMk,47.5107464,19.0081506
Sószoba ellátó,"Budapest, Taliga utca 29",ChIJNX2mVLDZQUcR1qpQ_xVC4oE,47.5751087,19.026376
Pink Lotus Cosmetics,"Budapest, Nagybánya utca 9",ChIJkxB3DfPBQUcRpiV97DnnbaM,47.4299032,19.21886539999999
W54 Fitness,"Budapest, Wesselényi utca 54",ChIJJ7ysxGXcQUcRvRNxWe-fTpU,47.50154089999999,19.0702858
TFWG12 Sport Budakeszi,"Budakeszi, Tiefenweg utca 12",ChIJbXOIAnnfQUcR7WVuYc3NCxE,47.5043855,18.9169702
Magyar Országos Jóga Unió - Szatszang Jógaközpont,"Budapest, Nagyenyed utca 16",ChIJZ1JHXCfcQUcRnv0cEVtlR9w,47.497962,19.021611
Pindi Gym,"Budapest, Telepy utca 17",ChIJD6FoUczdQUcR4vAt1K922Dw,47.4787973,19.0833387
